topic_id,words,scores
14,"['work', 'need', 'doesnt', 'mid', 'crap', 'dont', 'launch', 'start', 'deck', 'crazy']","[0.22148074, 0.2012543, 0.1076783, 0.048502684, 0.04783663, 0.027809571, 0.026040606, 0.025550233, 0.024541564, 0.02215416]"
15,"['intro', 'parry', 'cutscene', 'slog', 'dei', 'crpg', 'bag', 'modded', 'amd', 'flying']","[0.085401766, 0.055968985, 0.038237087, 0.033158783, 0.027431954, 0.02632976, 0.024859104, 0.02395479, 0.023781084, 0.022404872]"
16,"['story', 'gameplay', 'character', 'combat', 'interesting', 'graphic', 'clunky', 'overall', 'better', 'definitely']","[0.2460455, 0.09159006, 0.090418145, 0.05213692, 0.047495667, 0.032242123, 0.022932414, 0.022635426, 0.019844364, 0.018426957]"
17,"['skill', 'build', 'level', 'character', 'item', 'gear', 'feel', 'loot', 'system', 'tree']","[0.042445194, 0.024151448, 0.022773925, 0.017985865, 0.017268283, 0.013601445, 0.013200379, 0.012539787, 0.012108828, 0.011707793]"
18,"['amazing', 'absolutely', 'art', 'fantastic', 'incredible', 'music', 'super', 'graphic', 'beautiful', 'design']","[0.22728659, 0.076691344, 0.057449494, 0.05686859, 0.05034857, 0.04150833, 0.040106803, 0.038160212, 0.036219228, 0.025928173]"
19,"['first', 'could', 'loved', 'felt', 'wish', 'ive', 'came', 'never', 'second', 'enjoyed']","[0.11892884, 0.050398596, 0.039624535, 0.03888058, 0.031117992, 0.024268987, 0.02325925, 0.02224416, 0.021257846, 0.020269968]"
20,"['creator', 'party', 'book', 'read', 'reading', 'thought', 'stolen', 'novel', 'meant', 'zero']","[0.083141975, 0.04441086, 0.04436116, 0.044324715, 0.038538467, 0.033987597, 0.020434957, 0.0198079, 0.01502714, 0.014637942]"
21,"['frustrating', 'instead', 'difficult', 'requires', 'youtube', 'check', 'fail', 'fromsoft', 'video', 'focus']","[0.044844832, 0.029307522, 0.028095242, 0.024855739, 0.021869693, 0.020537248, 0.019325487, 0.018571712, 0.014548688, 0.014510389]"
22,"['fuck', 'copy', 'boy', 'project', 'working', 'tho', 'red', 'respect', 'star', 'oblivion']","[0.20418121, 0.085407145, 0.054215148, 0.05399815, 0.053864725, 0.05127601, 0.049683172, 0.044929866, 0.041064568, 0.038998876]"
23,"['love', 'lol', 'favourite', 'fire', 'always', 'thanks', 'library', 'created', 'fell', 'heart']","[0.57047474, 0.04387834, 0.035709698, 0.030492665, 0.029641042, 0.024802243, 0.0244099, 0.021447355, 0.021085352, 0.017071221]"
24,"['issue', 'feel', 'however', 'first', 'could', 'new', 'point', 'often', 'certain', 'gameplay']","[0.014932178, 0.013074144, 0.011988388, 0.0106718335, 0.010446367, 0.0090077855, 0.008529268, 0.007760773, 0.007177488, 0.0071441685]"
25,"['removed', 'blood', 'massive', 'known', 'freeze', 'button', 'power', 'core', 'demand', 'calling']","[0.058286298, 0.055476114, 0.045990217, 0.045922574, 0.045616496, 0.03808438, 0.03660337, 0.027924327, 0.024728611, 0.023700623]"
26,"['average', 'easy', 'brain', 'long', 'grind', 'decent', 'hard', 'kid', 'money', 'audience']","[0.036453843, 0.0322086, 0.02706098, 0.026878243, 0.026864938, 0.0244722, 0.02166876, 0.020586459, 0.018522406, 0.01654021]"
27,"['effect', 'mass', 'franchise', 'legendary', 'original', 'trilogy', 'series', 'space', 'destroy', 'improved']","[0.19329393, 0.12964815, 0.121925436, 0.046716012, 0.038736805, 0.037873622, 0.034733374, 0.024072023, 0.02171771, 0.01794161]"
28,"['every', 'fight', 'minute', 'single', 'replay', 'twice', 'account', 'bos', 'battle', 'final']","[0.217014, 0.106743224, 0.092705436, 0.08007239, 0.0439403, 0.04141548, 0.031419788, 0.029896287, 0.029615112, 0.026541863]"
29,"['class', 'quality', 'high', 'hope', 'creation', 'industry', 'detective', 'character', 'expectation', 'role']","[0.10675767, 0.045149118, 0.044209074, 0.04089371, 0.03535115, 0.031910878, 0.03148805, 0.028045667, 0.021790212, 0.020681478]"
30,"['ever', 'ive', 'seen', 'video', 'never', 'greatest', 'dodge', 'probably', 'life', 'request']","[0.304067, 0.22272757, 0.043744914, 0.041443888, 0.041219816, 0.039172776, 0.03374138, 0.017682765, 0.017497757, 0.01710073]"
31,"['edition', 'special', 'school', 'woke', 'quit', 'perhaps', 'either', 'fresh', 'pop', 'goty']","[0.2512263, 0.16979367, 0.045223475, 0.03629678, 0.035847727, 0.028843869, 0.025441974, 0.019748328, 0.0174721, 0.015547357]"
32,"['quest', 'main', 'side', 'story', 'mission', 'npc', 'complete', 'line', 'content', 'trans']","[0.28052154, 0.09059519, 0.08788152, 0.067659676, 0.034885116, 0.027009856, 0.021978268, 0.0200223, 0.01951715, 0.016988056]"
33,"['trying', 'spent', 'went', 'soon', 'spend', 'tutorial', 'couple', 'hype', 'box', 'tried']","[0.087945476, 0.065052375, 0.04143678, 0.0406617, 0.03997644, 0.033673525, 0.027783802, 0.026873413, 0.026305055, 0.02459145]"
34,"['experience', 'depth', 'character', 'narrative', 'gameplay', 'combat', 'feel', 'offer', 'storytelling', 'engaging']","[0.030613849, 0.021807134, 0.01762086, 0.017344873, 0.016045762, 0.013651674, 0.013502972, 0.01159259, 0.011348384, 0.011227081]"
35,"['move', 'around', 'map', 'cant', 'stuck', 'area', 'idea', 'place', 'find', 'open']","[0.054167297, 0.029972987, 0.029211067, 0.026558181, 0.024628958, 0.021171527, 0.017365834, 0.0153026115, 0.0139146475, 0.013455534]"
36,"['larian', 'guy', 'kill', 'half', 'warrior', 'sword', 'shot', 'min', 'lock', 'door']","[0.09941779, 0.07585175, 0.06329083, 0.051136345, 0.04862127, 0.037364263, 0.03065774, 0.025389846, 0.025210543, 0.024713615]"
37,"['company', 'support', 'gaming', 'longer', 'shame', 'word', 'decade', 'developer', 'adventure', 'experience']","[0.16783346, 0.16432722, 0.092182085, 0.055752814, 0.05282925, 0.0449337, 0.03971454, 0.037418414, 0.03606149, 0.025071759]"
38,"['defeat', 'stop', 'poorly', 'unable', 'force', 'control', 'war', 'water', 'history', 'nostalgia']","[0.07645613, 0.06467335, 0.06226456, 0.05641803, 0.053966496, 0.04961863, 0.030853745, 0.02857115, 0.026298463, 0.024423435]"
39,"['suck', 'ring', 'elden', 'entry', 'ruin', 'baby', 'head', 'called', 'luck', 'lowest']","[0.22794443, 0.15416583, 0.1432492, 0.07281254, 0.042197965, 0.03917181, 0.032326736, 0.02890823, 0.024227934, 0.02050584]"
40,"['rule', 'pirate', 'memory', 'murder', 'drug', 'thousand', 'walking', 'nobody', 'interactive', 'qol']","[0.04134071, 0.036344517, 0.035840273, 0.03547209, 0.03054443, 0.028535211, 0.02734258, 0.025638388, 0.02155373, 0.021245552]"
41,"['big', 'sound', 'multiplayer', 'menu', 'disappointment', 'black', 'management', 'bullshit', 'somehow', 'everyones']","[0.1023119, 0.051746435, 0.04491651, 0.04424754, 0.041466273, 0.03689316, 0.035834555, 0.032014016, 0.030916007, 0.028203376]"
42,"['must', 'let', 'anyone', 'away', 'learning', 'stay', 'epic', 'tell', 'straight', 'dont']","[0.111002736, 0.0855115, 0.0837667, 0.050027013, 0.047545142, 0.040089846, 0.039324295, 0.038849182, 0.032721616, 0.029878603]"
43,"['developer', 'fact', 'forced', 'gamers', 'attempt', 'profit', 'win', 'create', 'failed', 'avoid']","[0.074401334, 0.04430599, 0.027524704, 0.024413852, 0.023192672, 0.019590301, 0.019377433, 0.018704666, 0.01723431, 0.016734442]"
44,"['arpg', 'path', 'genre', 'roll', 'fantasy', 'million', 'appeal', 'potential', 'mobile', 'step']","[0.095246196, 0.07333005, 0.051923055, 0.0420231, 0.038640037, 0.035181254, 0.034616288, 0.033728085, 0.025927586, 0.023633137]"
45,"['gon', 'perfect', 'basically', 'ruined', 'joke', 'actual', 'none', 'sorry', 'woman', 'otherwise']","[0.06923107, 0.056199852, 0.052473515, 0.049827915, 0.046035122, 0.04085778, 0.03919845, 0.03787535, 0.03427313, 0.031326883]"
46,"['combat', 'system', 'turn', 'action', 'based', 'control', 'mechanic', 'mouse', 'combo', 'ability']","[0.19166438, 0.095876604, 0.043467347, 0.028599106, 0.027817475, 0.022418184, 0.020396048, 0.020104703, 0.019121746, 0.018178925]"
47,"['money', 'devs', 'wont', 'garbage', 'dont', 'free', 'absolute', 'sale', 'window', 'making']","[0.18474174, 0.068763584, 0.060103472, 0.04303055, 0.04136236, 0.036397852, 0.034334507, 0.03380335, 0.033555686, 0.028564578]"
48,"['top', 'expect', 'tedious', 'tier', 'aware', 'soulless', 'like', 'puzzle', 'drag', 'available']","[0.16796035, 0.104013965, 0.100356914, 0.040696606, 0.039161433, 0.035947148, 0.03317309, 0.031003617, 0.030180002, 0.024100877]"
49,"['person', 'wasted', 'flat', 'dislike', 'real', 'around', 'never', 'fall', 'look', 'literally']","[0.021667937, 0.011295682, 0.01127976, 0.010982111, 0.010655131, 0.009717683, 0.009467707, 0.009315056, 0.009254851, 0.009161426]"
50,"['original', 'do', 'sin', 'aaa', 'que', 'intriguing', 'grow', 'favor', 'crpgs', 'satisfied']","[0.34834367, 0.07855265, 0.05665761, 0.05540163, 0.037550107, 0.030285472, 0.028543279, 0.027447231, 0.024827773, 0.012145552]"
51,"['enemy', 'fight', 'attack', 'hit', 'die', 'damage', 'kill', 'killed', 'cant', 'every']","[0.066913016, 0.042343877, 0.0372771, 0.03247568, 0.029335279, 0.019553302, 0.014775775, 0.013976038, 0.012930775, 0.01092485]"
52,"['pretty', 'lot', 'meh', 'wonderful', 'dull', 'banter', 'assassin', 'medieval', 'shitty', 'opening']","[0.32565033, 0.08561621, 0.07034419, 0.048010007, 0.04474623, 0.030454839, 0.029656928, 0.024521088, 0.023699021, 0.023677137]"
53,"['keep', 'getting', 'mind', 'coming', 'older', 'paying', 'used', 'agree', 'today', 'taking']","[0.22333731, 0.092824936, 0.056735024, 0.04836968, 0.04265971, 0.030580599, 0.028184552, 0.023768434, 0.02332158, 0.021944966]"
54,"['day', 'scroll', 'elder', 'may', 'engine', 'break', 'thinking', 'time', 'likely', 'week']","[0.11482209, 0.061345465, 0.057547558, 0.05027211, 0.038337052, 0.03359553, 0.02836529, 0.027973905, 0.02693846, 0.026832843]"
55,"['dragon', 'age', 'fan', 'veilguard', 'hate', 'huge', 'return', 'dont', 'gender', 'title']","[0.32939714, 0.3101004, 0.09143666, 0.07764074, 0.03741377, 0.013018618, 0.011694305, 0.011329266, 0.011110649, 0.009579504]"
56,"['year', 'better', 'release', 'update', 'content', 'since', 'ago', 'endgame', 'released', 'full']","[0.15445219, 0.101778276, 0.08610469, 0.0673766, 0.04774383, 0.040663607, 0.0342871, 0.033645816, 0.028883757, 0.022933114]"
57,"['choice', 'option', 'ending', 'matter', 'decision', 'spoiler', 'choose', 'romance', 'dialogue', 'villain']","[0.12370128, 0.06679294, 0.05874946, 0.053680025, 0.034368347, 0.034128822, 0.022750087, 0.021547128, 0.019199695, 0.016107365]"
58,"['yet', 'favorite', 'havent', 'next', 'finish', 'mediocre', 'finished', 'excited', 'bro', 'installment']","[0.10507956, 0.09233833, 0.09061685, 0.07040557, 0.04088384, 0.040320236, 0.03665075, 0.03576811, 0.03275623, 0.03167943]"
59,"['crash', 'save', 'fix', 'issue', 'tried', 'load', 'refund', 'crashing', 'problem', 'controller']","[0.111152254, 0.06209389, 0.061247937, 0.052973576, 0.04032949, 0.037923206, 0.03791907, 0.036153834, 0.027443368, 0.027333427]"
60,"['boring', 'yes', 'act', 'waste', 'get', 'stupid', 'slow', 'kinda', 'casual', 'reset']","[0.3026285, 0.16610697, 0.11298006, 0.08466793, 0.05810078, 0.057393067, 0.0563818, 0.05181637, 0.017688632, 0.010127751]"
61,"['shit', 'fucking', 'literally', 'god', 'as', 'damn', 'optimized', 'honestly', 'imo', 'crashed']","[0.20089813, 0.16037604, 0.1553278, 0.10988795, 0.083759576, 0.070611, 0.037617143, 0.03575477, 0.032823313, 0.027837062]"
62,"['hell', 'shouldnt', 'mob', 'cringe', 'poor', 'play', 'plus', 'basic', 'fair', 'say']","[0.08953261, 0.08170822, 0.07720417, 0.07498569, 0.073759966, 0.07060214, 0.06606464, 0.038825862, 0.03530857, 0.033284504]"
63,"['negative', 'positive', 'writer', 'dialog', 'click', 'point', 'option', 'artist', 'solve', 'talent']","[0.094947584, 0.08781166, 0.08109545, 0.078916706, 0.04553009, 0.042065557, 0.030620134, 0.02399441, 0.023169026, 0.021664402]"
64,"['world', 'open', 'every', 'immersive', 'building', 'city', 'explore', 'detail', 'filled', 'moment']","[0.175901, 0.044924393, 0.0283624, 0.014909446, 0.013876796, 0.013696993, 0.0130262645, 0.012860814, 0.011189168, 0.01106253]"
65,"['boss', 'soul', 'bos', 'hard', 'dark', 'beat', 'challenging', 'difficulty', 'challenge', 'monster']","[0.08307671, 0.081576936, 0.08026249, 0.07741472, 0.046675604, 0.035230283, 0.03313422, 0.030152712, 0.026521022, 0.023226703]"
66,"['bug', 'glitch', 'dlcs', 'issue', 'full', 'continue', 'fixed', 'product', 'breaking', 'enjoying']","[0.19178782, 0.057837084, 0.039052743, 0.035538062, 0.028980486, 0.028197637, 0.028122649, 0.026012182, 0.023289355, 0.02015047]"
67,"['character', 'companion', 'story', 'dialogue', 'feel', 'writing', 'world', 'combat', 'previous', 'choice']","[0.054396994, 0.032474566, 0.029255562, 0.02797026, 0.02279331, 0.02026668, 0.018630125, 0.014613, 0.0144831035, 0.012262403]"
68,"['new', 'terrible', 'fallout', 'couldnt', 'vega', 'non', 'wanting', 'heck', 'properly', 'hope']","[0.5210133, 0.14048748, 0.1121964, 0.0574272, 0.04605586, 0.03173517, 0.012818362, 0.011979358, 0.008589268, 0.0068435846]"
69,"['follow', 'extremely', 'scene', 'cut', 'hesitation', 'guide', 'wrong', 'simply', 'impossible', 'finger']","[0.20490506, 0.07851813, 0.07149189, 0.067316316, 0.060564384, 0.048626304, 0.048090346, 0.041467257, 0.037167042, 0.023005456]"
70,"['far', 'campaign', 'two', 'took', 'edit', 'kind', 'less', 'least', 'barely', 'three']","[0.103555135, 0.039255016, 0.037554756, 0.037429158, 0.036670715, 0.033484012, 0.033265915, 0.027589519, 0.02665582, 0.025300158]"
71,"['skyrim', 'version', 'studio', 'community', 'horse', 'modding', 'horrible', 'wouldnt', 'comparison', 'disney']","[0.19986977, 0.1909662, 0.112596266, 0.059436318, 0.045557328, 0.03681255, 0.0321074, 0.029672723, 0.027864125, 0.027269486]"
72,"['gate', 'baldurs', 'trash', 'mode', 'classic', 'man', 'rpgs', 'modern', 'rng', 'checking']","[0.22261932, 0.20053253, 0.096594006, 0.090633914, 0.0706289, 0.062052432, 0.05372848, 0.041933905, 0.029027835, 0.020786418]"
73,"['feel', 'screen', 'bland', 'loading', 'dont', 'title', 'disappointed', 'make', 'sometimes', 'morrowind']","[0.3604135, 0.0676189, 0.04535214, 0.034195326, 0.025728686, 0.025602125, 0.023919556, 0.023765333, 0.022648638, 0.020493304]"
74,"['everything', 'buying', 'nothing', 'already', 'everyone', 'said', 'okay', 'else', 'anything', 'awful']","[0.086027056, 0.084486865, 0.07889337, 0.07131725, 0.07017443, 0.059954457, 0.05871767, 0.058177225, 0.05200472, 0.048784893]"
